"Título","Actividad","Temática","Dirección","Teléfono","e-mail","Web","Otros","UAP","Tipo de recurso","Población diana","Zona Accción","Dirección: coordenadas","Modificado por"
"Hugar del Jubilado Ursula Donea - Mañaria",,"[""Personas Mayores""]","{""EntityType"":""Unknown"",""LocationUri"":""https://www.bingapis.com/api/v6/localentities/78625409-6448-0ed5-5120-551d49c35528?setLang=es-ES"",""DisplayName"":""Mañaria"",""Address"":{""City"":""Mañaria"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1375,""Longitude"":-2.6611}}",,,,,"[""Durango""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.6611 43.1375)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Elorrio - Igualdad",,"[""Mujeres"",""Hombres"",""Población general"",""Género e identidad""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN552E450126EFB247?setLang=es-ES"",""DisplayName"":""Elorrioko Udaletxea"",""Address"":{""City"":""Elorrio"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1306,""Longitude"":-2.54212}}","946.570.809","berdintasuna@elorrio.eus",,,"[""Abadiño Elorrio Berriz""]","[""Institución pública""]","[""Población general"",""Mujer""]","Local","Point (-2.54212 43.1306)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Bizitu Elkartea","Asesorar, orientar, informar, formar y empoderar a mujeres inmersas en un proceso de violencia de género o malos tratos, o a ""mujeres supervivientes"" que han superado un proceso similar - Realizar actividades de empoderamiento diversas encaminadas a conseguir que estas mujeres adquieran conciencia de su valía personal, y tomen el control de sus propias vidas.
Realizar actividades de información, formación, divulgación y sensibilización hacia esta problemática, en los diversos ámbitos económicos, sociales, culturales, políticos y educativos. 
Promover actividades de coeducación para prevenir la violencia de género, actitudes machistas cambio de roles desde la más tierna infancia. 
Cualquier otra actividad o iniciativa compatible o que contribuya a realizar los objetivos de la asociación.","[""Personas Mayores""]","{""EntityType"":""Unknown"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities/5668266183216857089?setLang=es-ES"",""DisplayName"":""Bilbao"",""Address"":{""City"":""Bilbao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48002"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2497,""Longitude"":-2.9469}}","688.627.552","info.bizitu@gmail.com",,"Se reunen periódicamentepara hacer excursiones, reuniones...
Disponen de una psicológa gracias a una ayuda, la cual participa en intervención individual (a mujeres recién llegadas) y grupal
Disponen de 1 material audiovisual, película: Volar
No disponen de material físico, tampoco de oficina","[""Durango"",""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Etxebarri"",""Galdakao"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Llodio"",""Markina"",""Ondarroa""]","[""Asociación""]","[""Personas mayores""]","Provincial","Point (-2.9469 43.2497)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Hogar del Jubilado de Atxondo",,"[""Personas Mayores""]","{""EntityType"":""Unknown"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities/5668645947345731585?setLang=es-ES"",""DisplayName"":""Apatamonasterio"",""Address"":{""City"":""Apatamonasterio"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48291"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1314,""Longitude"":-2.5835}}",,,,,"[""Abadiño Elorrio Berriz""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.5835 43.1314)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Nagusien Egoitza Santrokas - Zelaieta",,"[""Personas Mayores""]","{""EntityType"":""Unknown"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities/5668644297289760769?setLang=es-ES"",""DisplayName"":""Abadiño-Zelaieta"",""Address"":{""City"":""Abadiño-Zelaieta"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48220"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1504,""Longitude"":-2.6102}}","946.202.878",,,,"[""Abadiño Elorrio Berriz""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.6102 43.1504)","CESAR ENRIQUE PINARGOTE GAVILANES"
"San Prudencio de Traña-Matiena",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN346D26934464CA4A?setLang=es-ES"",""DisplayName"":""Errota Kultur Etxea"",""Address"":{""Street"":""Calle de Laubideta 22"",""City"":""Traña-Matiena"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48220"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1687,""Longitude"":-2.60894}}","946.816.684",,,,"[""Abadiño Elorrio Berriz""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.60894 43.1687)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Goiuriko Ama - Iurreta",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNE8967E0136728F15?setLang=es-ES"",""DisplayName"":""Iurretako Nagusien Zentroa-Centro de los mayores de Iurreta"",""Address"":{""Street"":""Calle de Bixente Kapanaga 9"",""City"":""Iurreta"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48215"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1747,""Longitude"":-2.63907}}","946.818.176",,,,"[""Durango""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.63907 43.1747)","CESAR ENRIQUE PINARGOTE GAVILANES"
"La Esperanza - Elorio",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNFF4D9EE583944B5A?setLang=es-ES"",""DisplayName"":""Palacio Urkizu Aldatsekua"",""Address"":{""Street"":""Calle Ibaikua 5"",""City"":""Elorrio"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1282,""Longitude"":-2.53934}}","946.231.790",,,,"[""Abadiño Elorrio Berriz""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.53934 43.1282)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Berio-Otxoa - Elorrio",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNFF4D9EE583944B5A?setLang=es-ES"",""DisplayName"":""Palacio Urkizu Aldatsekua"",""Address"":{""Street"":""Calle Ibaikua 5"",""City"":""Elorrio"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1282,""Longitude"":-2.53934}}","946.820.591",,,,"[""Abadiño Elorrio Berriz""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.53934 43.1282)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Hogar del Pensionista Gure Izerdia - Berriz",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNC4EA8BAD5ACA9B0F?setLang=es-ES"",""DisplayName"":""Hogar del Jubilado"",""Address"":{""Street"":""Calle de Juan Vicente Zengotitabengoa 8"",""City"":""Berriz-Olakueta"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48240"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1688,""Longitude"":-2.57544}}","946.824.866",,,,"[""Abadiño Elorrio Berriz""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.57544 43.1688)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Asociación Biziraun","Biziraun está compuesta por un grupo de personas del País Vasco, que están viviendo esta pérdida de un ser querido por suicido y quieren compartir un espacio con personas en situación similar.","[""Otro""]","{""EntityType"":""Unknown"",""LocationUri"":""https://www.bingapis.com/api/v6/localentities/9f2eb4b0-69dc-4c4e-a6cc-b1f6d437c9f6?setLang=es-ES"",""DisplayName"":""Markina-Xemein"",""Address"":{""City"":""Markina-Xemein"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2706,""Longitude"":-2.4972}}",,"info@biziraun.org","https://www.biziraun.org/es",,"[""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Durango"",""Etxebarri"",""Galdakao"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Llodio"",""Markina"",""Ondarroa""]","[""Asociación""]","[""Familias"",""Personas en riesgo de exclusión social""]","Autonómica","Point (-2.4972 43.2706)","CESAR ENRIQUE PINARGOTE GAVILANES"
"San Miguel Garaiko Nagusiak Elkartea",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNB1D27E00E474707B?setLang=es-ES"",""DisplayName"":""Fronton de Garai"",""Address"":{""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1927,""Longitude"":-2.6087}}","946.812.580",,,,"[""Abadiño Elorrio Berriz""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.6087 43.1927)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Garai - Cultura",,"[""Cultura, ocio y naturaleza""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNA5704D41E8744FAA?setLang=es-ES"",""DisplayName"":""Herriko Jatetxea Garai"",""Address"":{""Street"":""Barrio de San Miguel 20"",""City"":""Garai"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1938,""Longitude"":-2.61137}}","945.062.555",,,,"[""Abadiño Elorrio Berriz""]","[""Institución pública""]","[""Población general""]","Local","Point (-2.61137 43.1938)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Beti Jai - Markina",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN212820EC2413CC5E?setLang=es-ES"",""DisplayName"":""Markina Xemeingo Herri liburutegia"",""Address"":{""Street"":""Calle de Abesua 12"",""City"":""Markina-Xemein"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48270"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2662,""Longitude"":-2.49757}}","946.166.571",,,,"[""Markina""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.49757 43.2662)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Izar Gaztea - Durango",,"[""Personas Mayores""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN84AE2F620F8F0CBF?setLang=es-ES"",""DisplayName"":""Residencia Centro De Día Astarloa S L"",""Address"":{""Street"":""Pablo Pedro Astarloa 1"",""City"":""Durango"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1682,""Longitude"":-2.62984}}","946.218.012",,,,"[""Durango""]","[""Asociación""]","[""Personas mayores""]","Local","Point (-2.62984 43.1682)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Elorrio - Kirolak",,"[""Actividad física""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNAAC05A3AF99F26B8?setLang=es-ES"",""DisplayName"":""Kultur Etxea"",""Address"":{""City"":""Elorrio"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1294,""Longitude"":-2.54221}}","946.821.027",,"https://www.elorrio.eus/eu-ES/Udal_arloak/Kirolak/Orriak/default.aspx",,"[""Abadiño Elorrio Berriz""]","[""Institución pública""]","[""Población general""]","Local","Point (-2.54221 43.1294)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Berriz",,"[""Otro""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x7426702262592355446?setLang=es-ES"",""DisplayName"":""AYUNTAMIENTO DE BERRIZ"",""Address"":{""Street"":""CALLE ITURRITZA 51"",""City"":""Berriz-Olakueta"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48240"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1748,""Longitude"":-2.57755}}","946.824.036","berriz@berriz.eus","https://www.berriz.eus/es-ES/Paginas/default.aspx",,"[""Abadiño Elorrio Berriz""]","[""Institución pública""]","[""Población general""]","Local","Point (-2.57755 43.1748)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ESNATU ","Programa de Atención Psicológica de víctimas de violencia machista contra las mujeres.

Programa de Atención Psicológica a víctimas de violencia sexual.

Programa de Atención Psicológica a personas autoras de actos de maltrato o de delitos contra la libertad sexual.

- Diagnóstico y valoración.
- Atención Psicológica Individualizada: tratamientos individuales de apoyo psicológico y de psicoterapia a las personas beneficiarias.
- Atención Psicológica Grupal como intervención complementaria a la atención psicológica individualizada.
- Seguimiento de los casos atendidos.
- Evaluación de los casos tratados.
- La asistencia psicológica prestada será urgente (en los casos de riesgo inminente), gratuita y especializada.","[""Mujeres""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNFC574BBC87D5E970?setLang=es-ES"",""DisplayName"":""Diputación Foral de Bizkaia"",""Address"":{""Street"":""Avenida Lehendakari Aguirre 9"",""City"":""Bilbao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48014"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2621,""Longitude"":-2.93211}}","946.620.505","esnatu@bizkaia.eus","https://www.bizkaia.eus/es/tema-detalle/-/edukia/dt/1807","En Bilbao: lunes a jueves de 9:00 a 18:00h; viernes de 8:00h a 15:00h.
En Markina-Xemein: lunes, martes, miércoles y viernes de 08:00 a 15:00h.
En Zalla: martes  de  09:00 a 18:00; miercoles, jueves y viernes de 08:00 a 15:00h.
En Ugao-Miraballes: lunes y jueves de 08:00 a 15:00h.
En Durango: lunes, miércoles, jueves y viernes de 8:00h a 15:00h.
En Gernika: lunes de 9:00 a 18:00h; martes y miércoles de 08:00 a 15:00h.
En Igorre: lunes, miércoles, jueves y viernes de 08:00 a 15:00h.
En Bermeo: miércoles de 9:00 a 14:00h.
En Portugalete: lunes a jueves de 9:00 a 18:00h, viernes de 8:00 a 14:00h.
En Leioa: lunes a jueves de 9:00 a 18:00h, viernes de 8:00 a 14:00h.
En Getxo: lunes a jueves de 9:00 a 18:00h, viernes de 8:00 a 14:00h.","[""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Etxebarri"",""Galdakao"",""Gernikaldea"",""Lekeitio"",""Llodio"",""Ondarroa""]","[""Institución pública""]","[""Mujer"",""Familias""]","Provincial","Point (-2.93211 43.2621)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Urtxintxa Eskola","Asociación sin ánimo de lucro. Todos nuestros cursos y proyectos tienen como objetivo la educación en valores y convertimos el ocio en una herramienta de transformación social.","[""Infancia"",""Juventud"",""Salud comunitaria""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""No tien f"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","944.320.445","feminismoa1@urtxintxaeskola.eus","https://urtxintxaeskola.eus/",,"[""Abadiño Elorrio Berriz""]","[""Asociación""]","[""Juventud""]","Autonómica",,"CESAR ENRIQUE PINARGOTE GAVILANES"
"ATEA MOREA ","Somos un equipo de 6 profesionales de la intervención social y sociojurídica con amplia trayectoria y experiencia en materia de violencia machista, derechos humanos, género, atención en crisis y enfoque intercultural.

Nuestro modelo de atención incorpora un enfoque de derechos humanos, feminista y empoderante como horizonte y metodología, que tiene en cuenta la diversidad de las mujeres y las múltiples discriminaciones a las que pueden estar expuestas.

Ofrecemos un acompañamiento integral, individualizado y adaptado a cada situación, desde la participación y vinculación con la comunidad.


Posibilitar la detección, información, orientación y acompañamiento inicial a mujeres supervivientes de violencia machista.

Garantizar el acceso a derechos de las mujeres víctimas desde un enfoque integral.

Proteger a las víctimas y reforzar su seguridad desde la prevención, procurando evitar nuevos daños y/o la reproducción de nuevas situaciones de violencia machista, así como orientar para que puedan vivir en un entorno seguro.
Ofrecer un acompañamiento en el que la mujer es la protagonista de su proceso inicial de reparación

Facilitar un acompañamiento a las mujeres de carácter comunitario que permita su inclusión social y la generación de redes.

- Menores de edad víctimas de violencia machista desde los 14 años
- Mujeres víctimas de violencia machista
- Madres, padres y otros familiares o personas cercanas
- Agentes sociales y/o profesionales","[""Mujeres"",""Género e identidad"",""Salud sexual y reproductiva"",""Salud mental/Bienestar emocional"",""Salud comunitaria""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNDBB2BE6F4D5CDB5E?setLang=es-ES"",""DisplayName"":""FUNDACION EDE FUNDAZIOA"",""Address"":{""Street"":""Calle de Manuel Allende 10"",""City"":""Bilbao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48010"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2603,""Longitude"":-2.94199}}","688.881.353","atemorea@bizkaia.eus","https://atemorea.org/quienes-somos/","Horario de atención:
De lunes a jueves de 9:00 a 18:00h y viernes de 8:00 a 15:00","[""Ondarroa"",""Markina"",""Llodio"",""Lekeitio"",""Gernika"",""Galdakao"",""Etxebarri"",""Basauri Kareaga"",""Bermeo"",""Basauri Ariz"",""Arrigorriaga"",""Arratia"",""Amorebieta"",""Aiara"",""Durango"",""Gernikaldea"",""Abadiño Elorrio Berriz""]","[""Institución pública""]","[""Mujer"",""Personas en riesgo de exclusión social""]","Provincial","Point (-2.94199 43.2603)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Osakidetza",,"[""Salud comunitaria"",""Población general""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6702592FA632F40F?setLang=es-ES"",""DisplayName"":""Osakidetza"",""Address"":{""Street"":""Calle de Álava 45"",""City"":""Vitoria-Gasteiz"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""01006"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":42.8372,""Longitude"":-2.67889}}",,,,,"[""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Durango"",""Etxebarri"",""Galdakao"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Llodio"",""Markina"",""Ondarroa""]","[""Institución pública""]","[""Población general""]","Autonómica","Point (-2.67889 42.8372)","CESAR ENRIQUE PINARGOTE GAVILANES"
